Table 1.1.5. Gross Domestic Product
Table 1.1.5. Gross Domestic Product
"Last Revised on: December 22, 2022 - Next Release Date January 26, 2023"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"            Structures",19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55.0,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,276.0,285.7,321.0,333.5,287.0,286.6,307.7,353.0,425.2,510.3,571.1,455.8,379.8,404.5,479.4,492.5,577.6,584.4,560.4,599.5,633.6,674.7,614.4,598.2
11,"            Equipment",29.7,28.9,32.1,34.4,38.7,45.8,53.0,53.7,58.5,65.2,66.4,69.1,78.9,95.1,104.3,107.6,121.2,148.7,180.6,208.1,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660.0,713.6,766.1,711.5,659.6,670.6,721.9,794.9,862.3,893.4,845.4,670.3,777.0,881.3,983.4,1027.0,1091.9,1119.5,1087.8,1118.3,1193.2,1209.8,1077.8,1194.0
12,"            Intellectual property products",7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.6,17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.0,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,318.1,365.1,411.3,415.0,406.2,418.7,437.8,473.1,506.3,544.8,574.4,564.4,578.2,621.7,655.7,691.9,730.5,762.7,821.2,875.3,957.9,1036.6,1105.7,1232.7
13,"        Residential",26.9,27.0,29.6,32.9,35.1,35.2,33.4,33.6,40.2,44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138.0,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256.0,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513.1,557.6,637.1,749.8,856.2,838.2,690.5,516.0,390.0,376.6,378.8,432.0,510.0,560.2,633.8,699.4,760.3,798.6,813.2,900.8,1107.6
14,"    Change in private inventories",3.2,3.0,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2.0,8.3,9.1,15.9,14.0,-6.3,17.1,22.3,25.8,18.0,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,20.0,14.1,64.1,57.5,69.0,34.0,-29.2,-150.8,53.9,46.3,71.2,104.5,84.0,136.8,36.3,32.2,59.1,72.8,-55.8,-19.1
15,Net exports of goods and services,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4,3.9,0.6,-3.4,4.1,-0.8,16.0,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20.0,-51.6,-102.7,-114.0,-131.9,-144.8,-109.4,-86.7,-77.9,-28.6,-34.7,-65.2,-92.5,-89.8,-96.4,-102.0,-162.7,-259.6,-381.1,-376.7,-439.7,-522.0,-634.1,-739.9,-786.5,-735.9,-740.9,-419.2,-532.3,-579.6,-551.6,-479.4,-510.0,-526.2,-506.3,-536.7,-593.1,-578.8,-627.5,-861.7
16,"    Exports",27.0,27.6,29.1,31.1,35.0,37.1,40.9,43.5,47.9,51.9,59.7,63.0,70.8,95.3,126.7,138.7,149.5,159.3,186.9,230.1,280.8,305.2,283.2,277.0,302.4,303.2,321.0,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953.0,992.9,1096.1,1026.8,998.0,1035.2,1176.4,1301.6,1470.2,1659.3,1835.3,1582.8,1857.2,2115.9,2217.7,2287.0,2377.4,2268.7,2232.1,2388.3,2538.1,2538.5,2148.6,2539.6
17,"        Goods",20.5,20.9,21.7,23.3,26.8,28.0,31.1,32.5,35.7,38.7,45.0,46.2,52.6,75.8,103.5,112.5,121.5,128.4,149.9,187.3,230.4,245.2,222.6,214.0,231.3,227.5,231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,795.1,739.6,706.6,733.9,828.0,919.3,1043.1,1159.7,1291.0,1057.4,1272.9,1468.5,1529.6,1563.9,1617.0,1496.7,1447.6,1546.7,1669.3,1644.8,1420.0,1741.5
18,"        Services",6.6,6.7,7.4,7.7,8.3,9.2,9.8,10.9,12.2,13.2,14.7,16.8,18.3,19.5,23.2,26.2,28.0,30.9,37.0,42.9,50.3,60.0,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,281.2,301.1,287.2,291.4,301.3,348.4,382.2,427.1,499.6,544.3,525.4,584.3,647.4,688.1,723.1,760.5,772.0,784.5,841.6,868.8,893.7,728.6,798.2
19,"    Imports",22.8,22.7,25.0,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554.0,591.0,629.7,623.5,667.8,720.0,813.4,902.6,964.0,1055.8,1115.7,1252.5,1477.2,1403.6,1437.7,1557.1,1810.5,2041.5,2256.6,2395.2,2576.2,2001.9,2389.6,2695.5,2769.3,2766.4,2887.4,2794.9,2738.4,2925.0,3131.2,3117.2,2776.1,3401.4
20,"        Goods",15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99.0,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370.0,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1251.2,1176.2,1198.9,1299.0,1513.6,1722.8,1900.6,2002.7,2148.7,1588.1,1947.0,2231.1,2293.3,2293.9,2389.3,2289.6,2218.7,2369.9,2559.1,2516.7,2304.5,2844.7
21,"        Services",7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56.0,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,201.3,226.0,227.4,238.9,258.1,296.9,318.7,356.0,392.5,427.5,413.8,442.5,464.3,476.1,472.5,498.1,505.3,519.7,555.1,572.1,600.5,471.6,556.7
22,Government consumption expenditures and gross investment,120.5,129.2,140.3,147.2,154.8,164.1,185.4,207.0,225.5,239.0,252.6,267.5,286.2,304.8,341.4,381.1,404.2,434.3,476.3,524.8,589.6,654.4,711.5,766.6,827.9,910.5,976.1,1031.5,1078.9,1151.9,1238.6,1299.0,1344.5,1364.9,1402.3,1449.4,1492.8,1547.1,1611.6,1719.9,1826.4,1950.0,2089.5,2210.6,2338.1,2475.3,2623.8,2790.6,2983.0,3076.3,3155.6,3147.9,3136.5,3133.0,3168.8,3231.6,3303.1,3394.8,3578.8,3759.9,3928.9,4160.7
23,"    Federal",72.9,77.4,85.5,87.9,90.3,93.2,106.6,120.0,128.0,131.2,132.8,134.5,141.6,146.2,158.8,173.7,184.8,200.3,218.9,240.6,274.9,314.0,348.3,382.4,411.8,452.9,481.7,502.8,511.4,534.1,562.4,582.9,588.5,580.2,574.7,576.7,579.2,583.3,585.5,610.7,633.1,670.2,743.1,826.8,892.1,947.8,1001.2,1051.0,1152.0,1220.8,1300.2,1299.8,1287.0,1227.2,1216.0,1221.8,1234.5,1262.4,1337.9,1415.4,1520.6,1609.2
24,"        National defense",60.9,64.5,69.7,70.0,69.7,70.6,82.5,95.0,101.4,102.1,100.7,98.0,100.7,102.6,109.9,118.0,125.0,134.4,145.2,160.6,183.4,213.4,245.4,272.1,298.8,329.5,352.4,372.4,382.1,391.2,405.0,414.0,406.5,391.6,382.1,377.2,377.3,372.0,368.8,383.3,392.6,413.2,458.9,521.2,569.9,609.4,640.8,679.3,750.3,787.6,828.0,834.0,814.2,764.2,743.4,729.7,727.9,746.1,792.3,847.8,882.4,904.0
25,"        Nondefense",12.0,12.8,15.8,17.9,20.5,22.6,24.1,25.0,26.6,29.1,32.1,36.5,40.9,43.6,48.9,55.8,59.8,65.9,73.7,80.0,91.5,100.6,102.9,110.3,113.0,123.4,129.3,130.4,129.3,142.9,157.4,168.9,182.0,188.5,192.6,199.5,201.9,211.3,216.8,227.5,240.5,257.1,284.2,305.5,322.2,338.4,360.4,371.8,401.6,433.2,472.2,465.8,472.8,462.9,472.6,492.0,506.6,516.3,545.6,567.6,638.1,705.1
26,"    State and local",47.6,51.9,54.8,59.3,64.5,70.9,78.9,87.0,97.6,107.8,119.8,133.0,144.5,158.6,182.5,207.4,219.4,234.0,257.4,284.2,314.7,340.4,363.1,384.2,416.1,457.6,494.4,528.7,567.4,617.8,676.2,716.0,756.0,784.8,827.6,872.7,913.7,963.8,1026.1,1109.2,1193.4,1279.8,1346.4,1383.8,1446.0,1527.5,1622.7,1739.5,1831.1,1855.6,1855.4,1848.2,1849.5,1905.9,1952.8,2009.8,2068.5,2132.4,2240.8,2344.5,2408.3,2551.6
