Table 1.1. Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods
Table 1.1. Current-Cost Net Stock of Fixed Assets and Consumer Durable Goods
"Last Revised on: September 30, 2022"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,"      Nonresidential",398.2,420.5,449.5,475.6,501.8,536.8,582.0,632.3,688.1,760.5,847.8,917.3,1000.3,1132.6,1384.7,1452.8,1536.0,1630.9,1791.7,2028.9,2320.8,2549.3,2701.3,2773.3,2928.0,3039.6,3213.7,3385.6,3563.5,3753.2,3940.9,4071.3,4239.5,4417.8,4652.0,4869.7,5047.1,5271.2,5492.1,5798.0,6111.4,6359.8,6641.1,6922.0,7673.3,8380.8,9262.1,10010.1,10702.1,10760.4,11184.7,11795.5,12175.1,12572.0,12854.9,13044.2,13401.0,13946.9,14689.3,15228.6,15817.0,17670.0
11,"        Equipment",83.5,87.5,94.6,96.7,98.9,100.6,104.3,110.2,114.1,117.7,123.2,123.3,127.7,135.9,149.1,165.0,180.7,198.3,222.5,236.7,260.3,286.7,315.1,345.2,404.3,400.2,413.1,431.0,466.3,498.4,534.7,559.1,585.5,608.9,634.4,641.7,633.9,629.5,639.3,660.8,655.2,650.9,666.8,685.7,711.2,735.3,768.0,803.6,855.2,885.7,923.4,954.8,969.0,979.9,992.4,990.7,995.6,1013.3,1048.0,1079.0,1112.7,1181.4
12,"        Structures",286.7,301.4,319.6,338.3,356.6,384.0,418.6,455.6,499.0,558.0,629.9,691.3,761.8,872.9,1096.7,1138.2,1194.5,1258.6,1378.7,1578.9,1819.6,1992.5,2092.4,2110.8,2182.7,2274.6,2415.0,2538.2,2648.8,2780.9,2907.9,2994.6,3120.0,3262.5,3452.8,3648.7,3826.7,4043.3,4240.2,4503.0,4799.9,5040.4,5285.2,5510.1,6199.5,6842.1,7654.8,8316.4,8919.1,8918.4,9249.1,9800.5,10142.0,10492.1,10747.2,10935.0,11266.3,11753.0,12409.1,12884.5,13361.1,15061.6
13,"        Intellectual property products",28.1,31.6,35.3,40.6,46.3,52.2,59.1,66.6,75.1,84.8,94.7,102.6,110.8,123.8,138.9,149.6,160.8,174.1,190.6,213.3,240.9,270.1,293.8,317.3,341.0,364.7,385.6,416.3,448.4,474.0,498.2,517.6,534.0,546.4,564.8,579.2,586.4,598.5,612.6,634.2,656.3,668.5,689.1,726.2,762.6,803.4,839.3,890.1,927.8,956.4,1012.2,1040.2,1064.1,1100.0,1115.3,1118.5,1139.2,1180.6,1232.3,1265.2,1343.2,1427.0
14,"      Residential",11.3,12.1,12.9,13.2,14.0,14.7,15.7,16.5,18.5,20.6,21.9,24.6,27.5,31.1,34.7,38.0,42.5,48.9,56.5,67.3,73.7,80.8,85.7,96.0,99.5,100.4,103.9,113.4,128.6,137.4,141.9,142.8,151.1,161.8,172.6,178.8,186.6,195.1,205.0,217.8,229.6,244.2,257.6,275.7,303.0,332.0,347.0,344.8,335.9,329.8,332.5,337.0,347.6,371.1,384.0,391.3,415.5,428.5,450.8,465.4,496.7,578.1
15,"    Consumer durable goods",185.4,188.4,194.7,204.8,215.4,227.9,249.5,271.9,302.0,329.8,354.5,378.0,409.5,454.2,525.8,577.8,635.6,705.1,795.1,895.8,991.2,1061.0,1102.2,1175.0,1269.6,1376.9,1522.0,1652.7,1800.5,1925.8,2039.1,2117.4,2193.3,2302.1,2424.2,2529.3,2628.0,2718.0,2833.8,2991.1,3201.8,3364.3,3526.2,3677.7,3898.2,4106.2,4298.5,4473.9,4565.3,4560.0,4535.4,4644.7,4727.5,4779.6,4859.3,5007.0,5162.5,5300.7,5515.5,5731.4,6134.4,7121.6
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"  Private and government fixed assets",1520.5,1580.2,1652.8,1717.5,1829.7,1954.3,2119.9,2285.4,2511.4,2744.0,2990.8,3294.5,3621.8,4110.6,4887.7,5277.3,5747.3,6415.5,7261.1,8360.7,9512.5,10490.4,11083.9,11468.9,12140.1,12759.0,13548.2,14342.5,15228.3,16093.7,16856.4,17273.0,17999.5,18900.8,20027.3,20999.8,22001.5,23170.1,24472.3,26042.8,27759.9,29310.4,30737.0,32394.9,35711.1,39293.0,42509.6,44415.9,45920.8,45085.8,45984.7,47576.5,49092.1,51510.7,53585.1,54879.1,57158.8,59552.0,62729.9,65245.7,68166.3,77645.6
17,"      Nonresidential",985.1,1024.8,1076.3,1126.2,1191.1,1275.6,1386.3,1503.5,1646.0,1816.3,2009.5,2192.4,2386.1,2693.1,3278.5,3536.6,3816.1,4163.4,4662.0,5342.8,6121.2,6849.4,7290.2,7518.0,7969.1,8372.0,8817.3,9304.7,9874.8,10453.1,11012.2,11313.9,11726.5,12255.4,12924.9,13593.0,14199.4,14946.0,15718.7,16647.3,17720.2,18549.1,19257.0,19958.3,21823.8,23810.7,25969.4,27663.9,29489.2,28998.0,29869.1,31346.8,32392.1,33645.3,34892.0,35531.2,36531.4,37969.0,39931.3,41652.0,42878.6,48033.1
18,"        Equipment",276.2,283.6,298.3,309.0,323.7,343.0,374.4,406.4,440.5,477.8,518.0,545.8,582.9,643.0,774.6,881.2,973.2,1089.9,1240.5,1418.6,1630.2,1815.2,1935.1,2015.7,2163.1,2258.2,2377.8,2486.3,2644.4,2799.0,2958.4,3041.3,3129.9,3251.2,3419.4,3600.8,3738.0,3864.7,4024.0,4239.5,4460.5,4564.2,4626.1,4686.0,4937.1,5158.3,5497.2,5755.7,6055.4,6005.9,6147.4,6414.5,6668.7,6877.1,7131.2,7297.7,7455.8,7691.1,8021.7,8280.1,8435.8,9098.1
19,"        Structures",649.7,676.0,706.9,737.8,779.1,834.6,902.4,974.2,1067.5,1183.2,1319.3,1461.4,1603.7,1827.9,2253.0,2384.4,2549.2,2753.7,3067.8,3524.0,4036.2,4519.1,4787.3,4881.0,5126.5,5376.5,5647.5,5953.3,6290.5,6639.6,6963.3,7111.3,7371.0,7721.1,8149.6,8561.9,8962.9,9489.0,9999.4,10566.9,11268.3,11921.2,12497.7,13024.4,14533.5,16153.5,17835.7,19088.5,20476.2,19948.1,20535.3,21600.0,22268.7,23133.7,23992.2,24377.6,25031.4,25988.3,27364.6,28568.9,29220.4,33325.4
20,"        Intellectual property products",59.2,65.2,71.2,79.5,88.2,98.0,109.6,122.9,137.9,155.3,172.2,185.2,199.5,222.2,250.8,271.1,293.7,319.9,353.7,400.2,454.8,515.1,567.8,621.3,679.5,737.4,792.0,865.0,939.9,1014.5,1090.5,1161.2,1225.7,1283.1,1356.0,1430.2,1498.5,1592.3,1695.3,1841.0,1991.4,2063.7,2133.1,2247.8,2353.2,2498.8,2636.6,2819.7,2957.6,3044.0,3186.4,3332.2,3454.7,3634.5,3768.5,3855.9,4044.1,4289.6,4545.0,4802.9,5222.5,5609.7
21,"      Residential",535.4,555.4,576.5,591.3,638.6,678.7,733.5,781.8,865.4,927.7,981.3,1102.2,1235.8,1417.5,1609.3,1740.6,1931.2,2252.0,2599.0,3017.8,3391.3,3641.0,3793.7,3950.9,4171.0,4387.0,4730.9,5037.8,5353.6,5640.7,5844.2,5959.1,6273.0,6645.4,7102.4,7406.8,7802.0,8224.1,8753.6,9395.4,10039.7,10761.2,11480.0,12436.7,13887.3,15482.3,16540.2,16752.0,16431.6,16087.8,16115.6,16229.7,16700.0,17865.4,18693.1,19348.0,20627.4,21582.9,22798.6,23593.8,25287.7,29612.5
22,"  Government fixed assets",409.6,432.6,462.4,488.8,515.7,551.5,597.8,648.8,706.6,781.1,869.8,941.9,1027.9,1163.7,1419.4,1490.9,1578.5,1679.7,1848.2,2096.2,2394.5,2630.1,2787.0,2869.3,3027.5,3140.0,3317.6,3499.0,3692.1,3890.7,4082.8,4214.1,4390.6,4579.6,4824.5,5048.5,5233.7,5466.3,5697.1,6015.7,6341.0,6604.0,6898.7,7197.7,7976.3,8712.8,9609.2,10354.9,11038.0,11090.2,11517.2,12132.5,12522.8,12943.2,13238.9,13435.5,13816.6,14375.3,15140.1,15694.0,16313.7,18248.1
23,"    Federal",205.2,215.7,230.3,240.7,251.0,263.0,278.9,299.8,319.6,343.0,370.2,391.2,424.7,470.8,539.7,572.1,619.5,656.0,722.1,800.2,888.6,960.0,1024.5,1084.6,1182.2,1210.4,1260.1,1318.2,1405.8,1477.7,1541.0,1592.5,1652.1,1704.8,1770.4,1811.0,1833.8,1864.3,1902.5,1967.3,2003.8,2026.4,2077.6,2149.8,2289.1,2432.9,2579.5,2709.8,2828.7,2838.4,2955.8,3061.3,3126.7,3204.8,3248.7,3250.9,3305.2,3395.0,3520.5,3608.0,3756.8,4034.8
24,"    State and local",204.4,216.8,232.2,248.1,264.8,288.5,318.9,349.0,387.1,438.0,499.6,550.7,603.1,692.9,879.7,918.8,958.9,1023.7,1126.1,1296.0,1505.9,1670.1,1762.5,1784.7,1845.4,1929.6,2057.5,2180.8,2286.3,2413.0,2541.8,2621.5,2738.4,2874.8,3054.1,3237.5,3399.9,3602.0,3794.6,4048.4,4337.2,4577.6,4821.1,5047.9,5687.2,6279.9,7029.7,7645.1,8209.3,8251.8,8561.4,9071.2,9396.0,9738.4,9990.2,10184.5,10511.3,10980.3,11619.6,12086.0,12556.9,14213.3
