Table 1.3. Current-Cost Depreciation of Fixed Assets and Consumer Durable Goods
Table 1.3. Current-Cost Depreciation of Fixed Assets and Consumer Durable Goods
"Last Revised on: September 30, 2022"
Line,,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,"    Consumer durable goods",37.3,38.1,39.2,41.0,43.4,45.8,49.0,52.8,58.5,64.3,69.3,75.3,81.0,89.0,99.6,111.2,122.8,137.0,154.4,172.6,192.7,207.9,214.5,219.4,236.7,261.4,288.0,314.5,337.9,363.6,387.1,407.0,420.0,442.5,466.8,491.6,512.0,530.9,554.0,581.1,622.9,656.0,685.7,715.0,756.3,800.2,841.2,879.8,911.1,921.2,915.0,931.4,950.9,967.1,980.1,1004.7,1025.5,1068.9,1108.2,1153.6,1212.8,1363.8
,Addenda:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"  Private and government fixed assets",67.9,70.6,74.1,78.0,82.4,88.0,95.3,103.6,113.4,124.9,136.8,148.9,161.0,178.1,206.8,238.5,260.3,289.8,327.1,373.8,428.4,487.2,537.0,563.1,598.7,640.3,685.1,730.1,784.4,838.3,888.6,932.4,960.3,1003.3,1055.6,1122.4,1175.3,1239.1,1309.7,1399.0,1511.0,1599.9,1658.0,1719.2,1821.6,1970.9,2124.0,2252.0,2358.8,2371.5,2390.9,2474.4,2575.9,2681.2,2815.0,2911.3,2987.0,3118.8,3275.7,3436.4,3577.9,3832.9
17,"      Nonresidential",58.5,60.8,63.8,67.3,71.1,75.8,82.1,89.4,97.9,107.5,118.2,128.2,137.8,151.5,176.0,203.7,221.9,245.5,275.0,313.1,359.1,411.3,456.7,479.8,510.3,546.1,582.8,618.5,664.7,710.6,755.0,794.8,818.4,852.4,895.2,952.5,997.1,1051.6,1110.4,1184.6,1278.6,1348.0,1390.9,1428.5,1498.2,1608.2,1727.1,1841.8,1954.8,1985.5,2011.0,2096.7,2195.5,2278.3,2384.7,2465.0,2518.8,2622.3,2742.7,2882.0,2995.9,3172.8
18,"        Equipment",33.1,34.0,35.3,36.9,38.5,40.9,44.0,48.0,52.2,56.8,61.6,65.9,70.1,75.7,87.4,103.5,115.0,128.9,146.0,166.7,192.0,217.3,239.4,251.8,266.6,283.5,302.4,320.8,341.5,363.3,383.2,398.7,409.1,422.3,444.5,472.3,493.8,514.3,535.6,564.1,601.1,623.5,633.2,639.6,661.4,695.7,732.4,774.8,811.2,821.1,824.9,856.1,892.6,926.5,960.7,991.2,1013.1,1041.4,1079.8,1119.3,1143.5,1194.6
19,"        Structures",15.0,15.5,16.1,16.8,17.6,18.7,20.2,21.6,23.5,26.0,28.8,31.9,34.9,39.8,47.8,54.7,57.8,63.3,70.3,80.4,91.4,107.3,119.6,120.1,123.7,129.9,135.4,139.4,148.1,156.2,164.4,170.7,172.8,179.9,188.1,199.0,207.9,220.2,234.0,245.0,259.8,279.3,296.3,310.4,336.7,383.2,432.6,469.5,506.1,507.7,508.6,530.6,559.3,575.0,608.4,625.5,628.0,647.4,663.4,696.4,708.0,741.5
20,"        Intellectual property products",10.3,11.4,12.4,13.6,15.0,16.3,17.9,19.8,22.1,24.8,27.8,30.4,32.8,36.0,40.9,45.5,49.1,53.4,58.7,66.1,75.7,86.7,97.7,107.9,119.9,132.7,145.0,158.4,175.1,191.0,207.4,225.3,236.5,250.2,262.5,281.2,295.5,317.1,340.8,375.5,417.7,445.2,461.4,478.5,500.1,529.3,562.1,597.4,637.5,656.6,677.5,710.0,743.5,776.8,815.5,848.4,877.7,933.4,999.6,1066.3,1144.4,1236.7
21,"      Residential",9.4,9.8,10.3,10.7,11.3,12.2,13.2,14.1,15.5,17.3,18.7,20.7,23.2,26.7,30.8,34.8,38.4,44.2,52.0,60.7,69.2,75.8,80.4,83.4,88.5,94.2,102.4,111.6,119.8,127.7,133.5,137.6,141.9,150.9,160.4,169.9,178.2,187.5,199.3,214.5,232.4,251.9,267.1,290.6,323.4,362.8,396.9,410.2,404.0,386.0,379.9,377.7,380.5,402.9,430.3,446.2,468.2,496.5,532.9,554.4,582.0,660.0
22,"  Government fixed assets",19.7,20.8,22.3,23.9,25.1,26.4,28.1,30.2,32.7,35.4,38.6,41.3,43.5,46.7,53.7,59.7,63.8,68.7,75.0,83.1,93.4,105.3,116.6,124.4,135.2,143.9,153.6,164.1,176.5,188.7,200.2,211.0,217.4,225.1,233.1,241.6,246.2,251.3,257.6,266.8,279.5,288.2,296.2,307.2,324.5,348.3,372.2,399.5,427.0,442.8,457.2,477.1,493.6,504.6,516.5,522.8,527.1,542.0,565.1,586.3,606.1,648.4
23,"    Federal",15.2,16.0,17.2,18.4,19.2,20.0,21.1,22.5,24.2,25.8,27.6,29.1,30.2,31.8,35.4,38.8,41.7,45.2,49.5,54.5,60.4,67.5,75.5,81.7,90.9,97.1,103.4,110.1,118.9,126.9,133.5,140.1,143.3,146.9,150.3,153.5,153.7,154.1,155.4,158.3,162.9,164.9,167.1,172.4,180.4,190.5,201.2,212.0,225.9,233.7,243.7,254.9,261.6,265.8,270.1,271.4,270.7,275.9,285.1,293.7,304.7,322.3
24,"    State and local",4.5,4.8,5.1,5.5,5.9,6.4,7.1,7.8,8.6,9.6,10.9,12.2,13.3,14.8,18.3,21.0,22.0,23.4,25.4,28.6,33.0,37.7,41.2,42.7,44.3,46.8,50.1,54.0,57.7,61.8,66.6,70.8,74.1,78.3,82.8,88.1,92.5,97.3,102.2,108.6,116.5,123.2,129.1,134.9,144.1,157.8,170.9,187.5,201.1,209.1,213.4,222.2,231.9,238.8,246.3,251.4,256.4,266.1,280.0,292.6,301.5,326.0
